Voltage,Current,Temperature,Time,Load
220,0.18,30,10,39.6
222,0.18,31,11,39.96
218,0.18,30,12,39.24
225,0.36,32,13,81.0
230,0.36,33,14,82.8
228,0.36,34,15,82.08
210,0.54,35,16,113.4
215,0.54,34,17,116.1
220,0.54,33,18,118.8
220,0.18,31,9,39.6
223,0.18,30,8,40.14
219,0.18,29,7,39.42
224,0.36,32,6,80.64
226,0.36,33,5,81.36
229,0.36,34,4,82.44
212,0.54,35,3,114.48
217,0.54,34,2,117.18
221,0.54,33,1,119.34
220,0.18,30,10,39.6
221,0.18,31,11,39.78
219,0.18,32,12,39.42
227,0.36,33,13,81.72
228,0.36,34,14,82.08
230,0.36,35,15,82.8
213,0.54,34,16,115.02
214,0.54,33,17,115.56
216,0.54,32,18,116.64
220,0.18,31,9,39.6
222,0.18,30,8,39.96
224,0.18,29,7,40.32
225,0.36,32,6,81.0
226,0.36,33,5,81.36
227,0.36,34,4,81.72
210,0.54,35,3,113.4
212,0.54,34,2,114.48
215,0.54,33,1,116.1
220,0.18,30,10,39.6
223,0.18,31,11,40.14
225,0.18,32,12,40.5
226,0.36,33,13,81.36
228,0.36,34,14,82.08
229,0.36,35,15,82.44
211,0.54,34,16,113.94
213,0.54,33,17,115.02
214,0.54,32,18,115.56
220,0.18,31,9,39.6
221,0.18,30,8,39.78
222,0.18,29,7,39.96
224,0.36,32,6,80.64
225,0.36,33,5,81.0
226,0.36,34,4,81.36
210,0.54,35,3,113.4
212,0.54,34,2,114.48
215,0.54,33,1,116.1
